id	title
954	Anything Goes
955	Mary of Scotland
956	Uncle Tom's Cabin
957	Music in the Air
958	Mourning Becomes Electra
959	Adam Had Two Sons
960	Tom Sawyer
961	Wonder Boy
962	Girl Crazy
964	Heads Up
965	Spring Is Here
967	Treasure Girl
968	Funny Face
969	The Taming of the Shrew
971	Topdog / Underdog
972	Hedda Gabler
973	A Class Act
974	The Ride Down Mt. Morgan
976	"You're a Good Man, Charlie Brown"
977	"Bring in 'da Noise, Bring in 'da Funk"
978	Fool Moon
979	Buttons on Broadway
980	The Circle
981	Ain't Misbehavin'
982	Oba Oba
983	Dreamgirls
984	Barbara Cook: A Concert for the Theatre
985	Leader of the Pack
986	A View from the Bridge
987	Herman Van Veen: All of Him
989	Division Street
990	Your Arms Too Short to Box with God
991	Goodbye Fidel
992	Eubie!
994	The Mighty Gents
995	Miss Margarida's Way
997	I Have a Dream
998	Des Journees Entieres Dans Le Arbres
999	The Poison Tree
1000	Me and Bessie
1001	We Interrupt This Program...
1002	Scapino
1003	Warp
1004	The Secret Affairs of Mildred Wild
1006	Ovid's Metamorphoses
1007	Paul Sills' Story Theatre
1008	The Boy Friend
1009	Celebration
1010	We Bombed in New Haven
1011	You Know I Can't Hear You When the Water's Running
1012	The Shock of Recognition
1013	The Footsteps of Doves
1014	I'll Be Home For Christmas
1015	I'm Herbert
1016	The Investigation
1017	The Lion in Winter
1018	The World of Charles Aznavour
1019	Absence of a Cello
1021	Calculated Risk
1022	A Passage to India
1023	Something About a Soldier
1025	The 49th Cousin
1026	One More River
1027	The Long Dream
1028	Cut of the Axe
1029	The Gang's All Here
1030	Kataki
1031	Third Best Sport
1032	Comes a Day
1033	Back to Methuselah
1034	Compulsion
1036	Eugenia
1037	Protective Custody
1038	The Loud Red Patrick
1040	Down to Miami
1042	The Yeomen of the Guard
1043	Ruddigore
1044	Patience
1045	Iolanthe
1046	The Gondoliers
1047	Cox and Box / the Pirates of Penzance
1048	Cox and Box
1049	The Pirates of Penzance
1050	Trial by Jury & H.M.S. Pinafore
1051	H.M.S. Pinafore
1052	Trial by Jury
1053	The Mikado
1057	Blossom Time
1058	"Wine, Women and Song"
1060	The Straw Hat Revue
1061	Drama at Inish
1062	Juno and the Paycock
1063	The New Gossoon
1064	In a Train
1065	The Far-off Hills
1066	The Plough and the Stars
1067	Katie Roche
1068	Todo Un Hombre
1069	Amor
1070	Terra Baja
1071	Cuando Los Hijos De Eva No Son Lo Hijos De Adan
1072	Stork Mad
1073	Night of January 16
1075	A Lady Detained
1076	Are You Decent
1077	The Perfumed Lady
1078	Biography
1079	The Locked Room
1080	Growing Pains
1081	Under Glass
1082	June Moon
1083	Springtime for Henry
1084	Young Sinners
1085	The Silent House
1086	Chamberlain Brown's Scrap Book
1087	Intimate Relations
1088	New Chauve-Souris
1089	If I Were You
1090	Death Takes a Holiday
1091	King Lear
1092	Hamlet
1093	The Merchant of Venice
1094	Julius Caesar
1095	Macbeth
1096	As You Like It
1097	Richard III
1098	Sweet Chariot
1099	The Humbug
1100	Stripped
1101	A Strong Man's House
1102	A Comedy of Women
1103	Lady Dedlock
1104	Angela
1105	Redemption
1106	Just a Minute
1107	Fast Life
1108	The Money Lender
1109	The Outsider
1110	The Great Necker
1111	The Racket
1112	The Matrimonial Bed
1113	Queen High
1114	No More Women
1115	The Great Gatsby
1116	Applesauce
1117	The Virgin of Bethulia
1118	Bluffing Bluffers
1119	Princess April
1120	The Dream Girl
1121	A Love Scandal
1122	Steadfast
1123	The Newcomers
1124	Caroline
1125	The Lady in Ermine
1126	Biff! Bing! Bang!
1127	The Rose Girl
1129	The Girl from Wyoming
1130	The Drunkard
1131	The Only Law
1132	A Fighting Chance
1133	Around the Clock
1134	The Card King of the Coast
1135	The Rocky Mountain Express
1136	Since Nellie Went Away
1137	Through Death Valley
1138	Bunco in Arizona
1139	Under Suspicion
1140	From Broadway to the Bowery
1141	"Edna, the Pretty Typewriter"
1142	The Great Express Robbery
1143	The King and Queen of Gamblers
1144	Parted on Her Bridal Tour
1145	"Not Yet, But Soon"
1146	Kidnapped for Revenge
1147	The Phantom Detective
1148	How Hearts Are Broken
1149	A Woman of Fire
1150	"$10,000 Reward"
1151	The Girl and the Gambler
1152	The Burglar and the Lady
1153	Carolina
1154	A Bad Man from Mexico
1155	The Power of Money
1156	"Bertha, the Sewing Machine Girl"
1157	The Gambler of the West
1158	The Goldfields of Neveda
1159	Old Isaacs from the Bowery
1160	Breaking Into Society
1161	The Curse of Drink
1162	In New York Town
1163	Bedford's Hope
1164	Chinatown Charlie
1165	The Boy Behind the Gun
1166	Rufus Rastus
1167	"Tom, Dick and Harry"
1168	Mr. Blarney from Ireland
1169	The Duke of Duluth
1170	Secret Service Sam
1171	The Sambo Girl
1172	Bankers and Brokers
1173	The Great Jewel Mystery
1174	Hearts of Gold
1175	Fedora
1176	Pals
1177	"Me, Him and I"
1178	Shadows on the Hearth
1179	His Last Dollar
1180	Her Mad Marriage
1181	The Street Singer
1182	The White Tigress of Japan
1183	Out of the Fold
1184	By Right of Sword
1185	Our New Minister
1186	The Worst Woman in London
1187	Checkers
1188	Wedded and Parted
1189	The Evil That Men Do
1190	The Merchant of Venice
1191	A Mother's Love
1192	The Dangers of Paris
1193	Nevada
1194	For Home and Honor
1195	The Scales of Justice
1196	A Remarkable Case
1197	The Slaves of Russia
1198	The Judgement of King Solomon
1199	Private John Allen
1200	The Little Mother
1201	Jeanne Du Barri
1202	Kit Carson
1203	The Prisoner of Algiers
1204	Winchester
1205	The Master-of-arms
1206	A Night in Venice
1207	The Black Hussar
1208	The Mikado
1209	H.M.S. Pinafore
1210	Nanon
1211	The Bohemian Girl
1212	Patience
1213	Fra Diavolo
1214	Falka
1215	The Mascot
1216	Maritana
1217	The Pirates of Penzance
1218	The Chimes of Normandy
1219	"The Magic Melody, at the Lower Harbor"
1220	"The Magic Melody, at the Lower Harbor"
1221	"The Magic Melody, at the Lower Harbor"
1222	Iolanthe
1223	Die Fledermaus
1224	The Beggar Student
1225	We'uns of Tennessee
1226	Trial by Jury
1227	Olivette
1228	The Grand Duchess
1229	The Queen's Lace Handkerchief
1230	Dorothy
1231	Boccaccio
1232	The New Dominion
1233	At Piney Ridge
1234	New York
1235	Captain Imprudence
1236	A Man of Honor
1237	The Broken Melody
1238	The Great Northwest
1239	The Law of the Land
1240	Burmah
1241	Northern Lights
1242	In Sight of St. Paul's
1243	The Great Diamond Robbery
1244	The District Attorney
1245	The Manxman
1246	The Man Without a Country
1247	Sister Mary
1248	The Voyage of Suzette
1249	The Prodigal Daughter
1250	Virginius
1251	Amilie
1252	The Guys in the Truck
1253	Fifth of July
1254	Bent
1255	On Golden Pond
1256	Blackbirds of 1933
1257	Take a Chance
1258	George White's Scandals [1931]
1259	The House Beautiful
1260	Flying High
1261	George White's Scandals [1929]
1262	Harlem
1263	George White's Scandals [1928]
1264	Manhattan Mary
1265	George White's Scandals [1926]
1266	George White's Scandals [1925]
1267	The Fourflusher
1268	The Valley of Content
1269	The Sap
1270	George White's Scandals [1924]
1271	Poppy
1273	How Come?
1274	Johannes Kreisler
1275	Daffy Dill
1276	Lady Bug
1277	Nature's Nobleman
1279	Love Birds
1280	Macbeth
1281	Jimmie
1282	June Days
1283	Artists and Models [1924]
1284	The Moon-flower
1285	Sweet Little Devil
1286	Dew Drop Inn
1288	Sun Showers
1289	The Bronx Express
1290	The Blushing Bride
1291	The Squaw Man
